FPM NO,ALL CTS,ALL DT,ALL AVG DT,ALL STD DT,GTI GOOD CTS,GTI DT,GTI DT STD,GTI GOOD CTS DT,GTI GOOD CTS STD,LC FRAC DT,LOWE CTS,LOWE DT,LOWE AVG DT,LOWE DT STD,MEDE CTS,MEDE DT,MEDE AVG DT,MEDE DT STD,HIGHE CTS,HIGHE DT,HIGHE AVG DT,HIGHE DT STD
14,447718.0,10.122324512999997,2.2608705732179623e-05,3.4578039647122316e-06,397502.0,9.973919645899997,3.4217061990556987e-06,9.153795384999993,3.1028919900527544e-06,0.0034097563519234803,286056.0,6.5791398987999985,2.2999482265011042e-05,3.1172353679795047e-06,111443.0,2.5745813722999995,2.310222600163312e-05,3.0645208924091923e-06,3.0,7.41139e-05,2.470463333333333e-05,2.92365083794598e-06
15,433170.0,9.780785334599996,2.257955383475309e-05,3.5897402116246317e-06,382832.0,9.6324198502,3.5519901723489886e-06,8.815791966799997,3.225806549106449e-06,0.0032930087603136662,274474.0,6.310895336199998,2.2992689056886984e-05,3.267601489770614e-06,108356.0,2.5048513559999996,2.3116868064528035e-05,3.115687036178989e-06,2.0,4.5274599999999995e-05,2.2637299999999998e-05,0.0
16,441058.0,10.063809883399996,2.2817429642813407e-05,3.474364234162131e-06,401531.0,9.9408310456,3.457878535971381e-06,9.267839931699996,3.282305497456779e-06,0.003398444443560999,288614.0,6.6558189459999975,2.3061317004719097e-05,3.307085677627815e-06,112915.0,2.611975711099999,2.3132229651507763e-05,3.217567049429657e-06,2.0,4.5274599999999995e-05,2.2637299999999998e-05,0.0
17,405600.0,9.272383826999999,2.2860906871301772e-05,3.494730583303942e-06,367778.0,9.134783153999997,3.4830988183387063e-06,8.493550931599994,3.3487342180126513e-06,0.0031228830779280368,263531.0,6.080811989699997,2.307437071805593e-05,3.377538698768203e-06,104245.0,2.412693667299999,2.3144454576238658e-05,3.274281789809988e-06,2.0,4.5274599999999995e-05,2.2637299999999998e-05,0.0
20,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,0.0,-0.01,0.0,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,-0.01
21,455157.0,10.267620317499997,2.255841460748708e-05,3.0513974298745603e-06,402886.0,10.037356182699996,3.011288009243875e-06,9.245085103799994,2.644447716718163e-06,0.00343144322548745,290931.0,6.668767791699998,2.2922162958570925e-05,2.6552758578995767e-06,111949.0,2.576181488299999,2.3012099154972345e-05,2.615052265447e-06,6.0,0.00013582379999999998,2.2637299999999998e-05,0.0
22,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,0.0,-0.01,0.0,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,-0.01
23,470037.0,10.646661129299995,2.265068734865552e-05,3.0311603732835744e-06,423680.0,10.435047958999998,3.0069964828620224e-06,9.713817378999996,2.765887136606386e-06,0.003567401014249473,303926.0,6.958473444999998,2.2895288474826102e-05,2.8158600640739693e-06,119752.0,2.7553550975999994,2.3008844091121646e-05,2.638068202655719e-06,3.0,6.791189999999999e-05,2.2637299999999998e-05,0.0
24,428992.0,9.706874860199994,2.2627169877759943e-05,3.1406149347085158e-06,385255.0,9.537042083099998,3.115577434926478e-06,8.830550556099995,2.873671409517921e-06,0.00326040222659899,275618.0,6.3071834391999975,2.2883786397114837e-05,2.948585064354512e-06,109633.0,2.523276567699999,2.3015666521029245e-05,2.673820795811896e-06,4.0,9.054919999999999e-05,2.2637299999999998e-05,0.0
25,458387.0,10.327938488699997,2.2531045794710578e-05,3.312797663491667e-06,407417.0,10.1680279813,3.2719821893836045e-06,9.351290322499999,2.9214577244737445e-06,0.0034761156322354616,293474.0,6.726706565599998,2.292096255750083e-05,2.9639944379940596e-06,113940.0,2.624515844999999,2.303419207477619e-05,2.8073268337831925e-06,3.0,6.791189999999999e-05,2.2637299999999998e-05,0.0
